,INFY.NS,^NSEI
2012-01-25,487.09452000000005,5158.299805
2012-01-26,487.09452000000005,5158.299805
2012-01-27,497.91152999999997,5204.700195
2012-01-30,495.59099000000003,5087.299805
2012-01-31,501.74864,5199.25
2012-02-01,501.14565999999996,5235.700195
2012-02-02,503.75856,5269.899902
2012-02-03,508.5546,5325.850098
2012-02-06,507.43125,5361.649902
2012-02-07,498.36832999999996,5335.149902
2012-02-08,505.97823,5368.149902
2012-02-09,513.42442,5412.350098
2012-02-10,509.86139000000003,5381.600098
2012-02-13,509.49595,5390.200195
2012-02-14,511.80774,5416.049805
2012-02-15,523.3278700000001,5531.950195
2012-02-16,531.52247,5521.950195
2012-02-17,538.62151,5564.299805
2012-02-20,538.62151,
2012-02-21,536.87617,5607.149902
2012-02-22,539.43425,5505.350098
2012-02-23,535.9442799999999,5483.299805
2012-02-24,538.66755,5429.299805
2012-02-27,526.84559,5281.200195
2012-02-28,524.8444099999999,5375.5
2012-02-29,526.86312,5385.200195
2012-03-01,521.96622,5339.75
2012-03-02,519.9658,5359.350098
2012-03-05,513.41568,5280.350098
2012-03-06,521.1988,5222.399902
2012-03-07,526.93695,5220.450195
2012-03-08,526.93695,5220.450195
2012-03-09,521.71993,5333.549805
2012-03-12,514.7948200000001,5359.549805
2012-03-13,522.54217,5429.5
2012-03-14,526.02335,5463.899902
2012-03-15,526.58025,5380.5
2012-03-16,523.4828,5317.899902
2012-03-19,518.46751,5257.049805
2012-03-20,517.34416,5274.850098
2012-03-21,523.9125700000001,5364.950195
2012-03-22,516.7864900000001,5228.450195
2012-03-23,524.8992400000001,5278.200195
2012-03-26,517.23451,5184.25
2012-03-27,525.48393,5243.149902
2012-03-28,519.4907599999999,5194.75
2012-03-29,510.15376,5178.850098
2012-03-30,523.72985,5295.549805
2012-04-02,520.78804,5317.899902
2012-04-03,522.29512,5358.5
2012-04-04,520.95252,5322.899902
2012-04-05,520.95252,5322.899902
2012-04-06,520.95252,
2012-04-09,515.77275,5234.399902
2012-04-10,506.38971,5243.600098
2012-04-11,512.41946,5226.850098
2012-04-12,502.59792000000004,5276.850098
2012-04-13,438.99389,5207.450195
2012-04-16,432.05053,5226.200195
2012-04-17,435.00108,5289.700195
2012-04-18,433.27403,5300.0
2012-04-19,439.51425,5332.399902
2012-04-20,439.87969000000004,5290.850098
2012-04-23,422.24723,5200.600098
2012-04-24,429.30973,5222.649902
2012-04-25,429.38209000000006,5202.0
2012-04-26,430.52445,5189.0
2012-04-27,436.88311,5190.600098
2012-04-30,449.8745,5248.149902
2012-05-01,449.8745,5248.149902
2012-05-02,451.68341,5239.149902
2012-05-03,453.67504,5188.399902
2012-05-04,446.19232,5086.850098
2012-05-07,445.39787,5114.149902
2012-05-08,437.41298,4999.950195
2012-05-09,432.36043,4974.799805
2012-05-10,428.33180999999996,4965.700195
2012-05-11,422.32034000000004,4928.899902
2012-05-14,427.37217000000004,4907.799805
2012-05-15,441.30492000000004,4942.799805
2012-05-16,432.76241,4858.25
2012-05-17,433.14685,4870.200195
2012-05-18,435.39430999999996,4891.450195
2012-05-21,427.64625,
2012-05-22,427.7654,4860.5
2012-05-23,429.06269000000003,4835.649902
2012-05-24,451.95669000000004,4921.399902
2012-05-25,450.44789000000003,4920.399902
2012-05-28,452.90585999999996,4985.649902
2012-05-29,457.40491,4990.100098
2012-05-30,461.73314000000005,4950.75
2012-05-31,461.17350999999996,4924.25
2012-06-01,453.55127000000005,4841.600098
2012-06-04,452.8679,4848.149902
2012-06-05,453.48523,4863.299805
2012-06-06,458.54392,4997.100098
2012-06-07,465.65282,5049.649902
2012-06-08,459.25542,5068.350098
2012-06-11,460.47034,5054.100098
2012-06-12,466.62172999999996,5115.899902
2012-06-13,468.90887000000004,5121.450195
2012-06-14,474.26218,5054.75
2012-06-15,478.86602,5139.049805
2012-06-18,476.80593,5064.25
2012-06-19,470.2187,5103.850098
2012-06-20,468.90887000000004,5120.549805
2012-06-21,472.93334000000004,5165.0
2012-06-22,469.73425,5146.049805
2012-06-25,468.53828,5114.649902
2012-06-26,463.27075999999994,5120.799805
2012-06-27,468.5292,5141.899902
2012-06-28,469.51633,5149.149902
2012-06-29,476.33135,5278.899902
2012-07-02,474.47097,5278.600098
2012-07-03,472.79132999999996,5287.950195
2012-07-04,470.67429000000004,5302.549805
2012-07-05,470.83529000000004,5327.299805
2012-07-06,464.07719000000003,5316.950195
2012-07-09,462.80530999999996,5275.149902
2012-07-10,466.87760999999995,5345.350098
2012-07-11,469.0797,5306.299805
2012-07-12,429.85999000000004,5235.25
