,ACC,ADANIPORTS,AMBUJACEM
2006-09-22,768.3,,92.7379
2006-09-25,759.43,,92.4222
2006-09-26,767.04,,92.5406
2006-09-27,771.24,,92.6195
2006-09-28,765.67,,91.041
2006-09-29,779.96,,92.2249
2006-10-02,,,92.2249
2006-10-03,778.23,,92.3432
2006-10-04,768.42,,92.3432
2006-10-05,772.23,,95.22399999999999
2006-10-06,774.74,,96.2106
2006-10-09,769.95,,97.6313
2006-10-10,774.93,,97.1577
2006-10-11,762.73,,94.5137
2006-10-12,777.25,,95.8949
2006-10-13,789.73,,96.4474
2006-10-16,786.51,,95.7765
2006-10-17,781.45,,94.6716
2006-10-18,779.06,,94.6321
2006-10-19,771.01,,95.5397
2006-10-20,767.55,,95.8554
2006-10-23,765.36,,95.3819
2006-10-24,,,95.3819
2006-10-25,,,95.3819
2006-10-26,765.16,,94.6716
2006-10-27,772.42,,95.22399999999999
2006-10-30,771.64,,94.5137
2006-10-31,759.04,,92.7379
2006-11-01,767.95,,94.3559
2006-11-02,771.6,,95.5148
2006-11-03,790.68,,98.9118
2006-11-06,800.17,,102.5086
2006-11-07,790.79,,104.5867
2006-11-08,784.16,,104.9864
2006-11-09,783.26,,104.8265
2006-11-10,797.03,,107.3842
2006-11-13,800.53,,109.4224
2006-11-14,790.75,,108.3834
2006-11-15,800.29,,109.94200000000001
2006-11-16,851.64,,110.4215
2006-11-17,861.26,,108.78299999999999
2006-11-20,829.03,,106.6649
2006-11-21,844.45,,109.5423
2006-11-22,842.69,,110.1418
2006-11-23,839.39,,109.7821
2006-11-24,842.96,,110.8611
2006-11-27,870.68,,114.37799999999999
2006-11-28,863.26,,114.6178
2006-11-29,899.29,,116.8958
2006-11-30,886.38,,115.4171
2006-12-01,888.26,,114.6977
2006-12-04,923.95,,115.45700000000001
2006-12-05,914.6,,113.259
2006-12-06,899.18,,111.9002
2006-12-07,889.72,,112.6595
2006-12-08,867.58,,112.8594
2006-12-11,813.6,,109.86200000000001
2006-12-12,760.37,,105.0263
2006-12-13,788.91,,107.1844
2006-12-14,807.71,,110.8212
2006-12-15,832.52,,112.0201
2006-12-18,829.07,,111.5006
2006-12-19,800.02,,108.0636
2006-12-20,803.98,,107.1445
2006-12-21,808.61,,106.0255
2006-12-22,824.51,,109.2226
2006-12-25,,,109.2226
2006-12-26,834.37,,111.7404
2006-12-27,842.69,,113.3789
2006-12-28,844.77,,115.2572
2006-12-29,853.05,,112.7395
2007-01-01,,,112.7395
2007-01-02,858.08,,115.5769
2007-01-03,842.88,,115.9366
2007-01-04,841.47,,114.0183
2007-01-05,828.05,,110.5414
2007-01-08,807.59,,109.3025
2007-01-09,805.12,,111.1809
2007-01-10,800.69,,108.9429
2007-01-11,823.41,,111.5405
2007-01-12,836.01,,112.9393
2007-01-15,851.76,,115.1373
2007-01-16,864.87,,115.0574
2007-01-17,859.41,,115.537
2007-01-18,860.39,,116.2563
2007-01-19,870.6,,119.0538
2007-01-22,875.74,,117.3753
2007-01-23,814.74,,109.5024
2007-01-24,806.06,,110.1018
2007-01-25,816.47,,110.3016
2007-01-26,,,110.3016
2007-01-29,818.35,,107.3043
2007-01-30,,,107.3043
2007-01-31,801.12,,109.7421
2007-02-01,812.3,,111.3407
2007-02-02,817.21,,114.1782
2007-02-05,816.86,,114.41799999999999
2007-02-06,820.12,,113.9784
2007-02-07,834.01,,113.1791
2007-02-08,837.35,,113.29899999999999
2007-02-09,812.62,,110.98100000000001
2007-02-12,798.05,,105.8256
2007-02-13,793.23,,104.5068
2007-02-14,800.33,,105.5459
2007-02-15,798.96,,109.3025
2007-02-16,,,109.3025
2007-02-19,797.51,,105.9855
2007-02-20,795.94,,103.8674
2007-02-21,788.79,,105.4759
2007-02-22,753.58,,101.2536
2007-02-23,717.94,,99.0822
2007-02-26,740.0,,102.5002
2007-02-27,754.36,,101.0525
2007-02-28,708.16,,93.1308
2007-03-01,687.98,,89.8334
2007-03-02,670.83,,88.3054
2007-03-05,637.03,,90.0747
2007-03-06,669.3,,91.1202
2007-03-07,636.32,,83.4799
2007-03-08,654.11,,90.7583
2007-03-09,613.28,,88.5064
2007-03-12,586.23,,84.7667
2007-03-13,588.32,,85.209
2007-03-14,598.41,,85.3699
2007-03-15,586.27,,85.2895
2007-03-16,579.34,,83.4799
2007-03-19,592.32,,86.2546
2007-03-20,600.21,,89.1498
2007-03-21,603.06,,85.6112
2007-03-22,603.82,,86.8577
2007-03-23,597.89,,84.6863
2007-03-26,587.71,,83.8821
2007-03-27,,,83.8821
2007-03-28,588.6,,82.1932
2007-03-29,588.64,,84.0429
2007-03-30,589.04,,85.8122
2007-04-02,564.36,,83.4397
2007-04-03,564.24,,84.8874
2007-04-04,572.29,,84.244
2007-04-05,578.26,,85.209
2007-04-06,,,85.209
2007-04-09,594.16,,87.2599
2007-04-10,598.69,,87.9837
2007-04-11,586.79,,86.7371
2007-04-12,581.91,,86.1741
2007-04-13,599.49,,87.3001
2007-04-16,629.13,,90.2758
2007-04-17,647.88,,91.4821
2007-04-18,653.97,,90.9996
2007-04-19,631.9,,91.3615
2007-04-20,634.46,,92.8895
2007-04-23,637.75,,92.5276
2007-04-24,654.49,,95.9858
2007-04-25,667.39,,96.8303
2007-04-26,665.63,,95.9054
2007-04-27,658.9,,94.3774
